CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,103.4
8,8,100,3600,95,4900,616000,1350,1545,11000,102.5
6,12,100,3700,95,4700,616000,1350,1545,11000,95.2
4,8,100,4200,91,4500,616000,1350,1545,11000,92.4
6,6,100,2900,65,4100,616000,1350,1545,11000,91.4
6,6,100,3600,95,4300,616000,1350,1545,11000,90.6
6,6,100,2800,65,4000,616000,1350,1545,11000,88.7
4,4,100,3800,91,4200,616000,1350,1545,11000,87.8
4,4,100,3400,65,3800,616000,1350,1545,11000,83.2
2,4,100,3900,51,3900,616000,1350,1545,11000,69.3
12,24,100,3800,105,4600,616000,1350,1545,11000,98.8
8,16,100,3900,105,4500,616000,1350,1545,11000,97.8
8,16,100,3600,65,4400,616000,1350,1545,11000,96.5
6,12,100,3800,95,4400,616000,1350,1545,11000,96
6,12,100,3600,65,4200,616000,1350,1545,11000,93.2
6,12,100,3600,95,4250,616000,1350,1545,11000,90.6
6,12,100,3600,95,4000,616000,1350,1545,11000,85
6,12,100,3400,65,3900,616000,1350,1545,11000,84.1
8,16,100,3400,95,3800,616000,1350,1545,11000,81.3
8,16,100,3600,95,5000,448000,1515,1710,8000,84
8,8,100,3600,95,4900,448000,1515,1710,8000,83.2
6,12,100,3700,95,4700,448000,1515,1710,8000,77.4
4,8,100,4200,91,4500,448000,1515,1710,8000,75.1
6,6,100,2900,65,4100,448000,1515,1710,8000,74.2
6,6,100,3600,95,4300,448000,1515,1710,8000,73.6
6,6,100,2800,65,4000,448000,1515,1710,8000,72.1
4,4,100,3800,91,4200,448000,1515,1710,8000,71.3
4,4,100,3400,65,3800,448000,1515,1710,8000,67.6
2,4,100,3900,51,3900,448000,1515,1710,8000,56.3
12,24,100,3800,105,4600,448000,1515,1710,8000,80.2
8,16,100,3900,105,4500,448000,1515,1710,8000,79.5
8,16,100,3600,65,4400,448000,1515,1710,8000,78.4
6,12,100,3800,95,4400,448000,1515,1710,8000,78
6,12,100,3600,65,4200,448000,1515,1710,8000,75.7
6,12,100,3600,95,4250,448000,1515,1710,8000,73.6
6,12,100,3600,95,4000,448000,1515,1710,8000,69.1
6,12,100,3400,65,3900,448000,1515,1710,8000,68.3
8,16,100,3400,95,3800,448000,1515,1710,8000,66.1
8,16,100,3600,95,5000,484400,1481,1582,11000,80.8
8,8,100,3600,95,4900,484400,1481,1582,11000,80
6,12,100,3700,95,4700,484400,1481,1582,11000,74.4
4,8,100,4200,91,4500,484400,1481,1582,11000,72
6,6,100,2900,65,4100,484400,1481,1582,11000,71.4
6,6,100,3600,95,4300,484400,1481,1582,11000,70.8
6,6,100,2800,65,4000,484400,1481,1582,11000,69.3
4,4,100,3800,91,4200,484400,1481,1582,11000,68.6
4,4,100,3400,65,3800,484400,1481,1582,11000,65
2,4,100,3900,51,3900,484400,1481,1582,11000,54.2
12,24,100,3800,105,4600,484400,1481,1582,11000,77.2
8,16,100,3900,105,4500,484400,1481,1582,11000,76.4
8,16,100,3600,65,4400,484400,1481,1582,11000,75.4
6,12,100,3800,95,4400,484400,1481,1582,11000,75
6,12,100,3600,65,4200,484400,1481,1582,11000,72.8
6,12,100,3600,95,4250,484400,1481,1582,11000,70.8
6,12,100,3600,95,4000,484400,1481,1582,11000,66.4
6,12,100,3400,65,3900,484400,1481,1582,11000,65.7
8,16,100,3400,95,3800,484400,1481,1582,11000,63.6
8,16,100,3600,95,5000,336600,1000,1089,12000,80
8,8,100,3600,95,4900,336600,1000,1089,12000,79.2
6,12,100,3700,95,4700,336600,1000,1089,12000,73.6
4,8,100,4200,91,4500,336600,1000,1089,12000,71.5
6,6,100,2900,65,4100,336600,1000,1089,12000,70.7
6,6,100,3600,95,4300,336600,1000,1089,12000,70.1
6,6,100,2800,65,4000,336600,1000,1089,12000,68.6
4,4,100,3800,91,4200,336600,1000,1089,12000,67.9
4,4,100,3400,65,3800,336600,1000,1089,12000,64.3
2,4,100,3900,51,3900,336600,1000,1089,12000,53.6
12,24,100,3800,105,4600,336600,1000,1089,12000,76.4
8,16,100,3900,105,4500,336600,1000,1089,12000,75.7
8,16,100,3600,65,4400,336600,1000,1089,12000,74.6
6,12,100,3800,95,4400,336600,1000,1089,12000,74.2
6,12,100,3600,65,4200,336600,1000,1089,12000,72.1
6,12,100,3600,95,4250,336600,1000,1089,12000,70.1
6,12,100,3600,95,4000,336600,1000,1089,12000,65.8
6,12,100,3400,65,3900,336600,1000,1089,12000,65.1
