CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,225.3
8,8,100,3600,95,4900,616000,1350,1545,11000,223.3
6,12,100,3700,95,4700,616000,1350,1545,11000,207.3
4,8,100,4200,91,4500,616000,1350,1545,11000,201.3
6,6,100,2900,65,4100,616000,1350,1545,11000,199.2
6,6,100,3600,95,4300,616000,1350,1545,11000,197.3
6,6,100,2800,65,4000,616000,1350,1545,11000,193.3
4,4,100,3800,91,4200,616000,1350,1545,11000,191.2
4,4,100,3400,65,3800,616000,1350,1545,11000,181.2
2,4,100,3900,51,3900,616000,1350,1545,11000,151
12,24,100,3800,105,4600,616000,1350,1545,11000,215.3
8,16,100,3900,105,4500,616000,1350,1545,11000,213.2
8,16,100,3600,65,4400,616000,1350,1545,11000,210.2
6,12,100,3800,95,4400,616000,1350,1545,11000,209.2
6,12,100,3600,65,4200,616000,1350,1545,11000,203.2
6,12,100,3600,95,4250,616000,1350,1545,11000,197.3
6,12,100,3600,95,4000,616000,1350,1545,11000,185.2
6,12,100,3400,65,3900,616000,1350,1545,11000,183.2
8,16,100,3400,95,3800,616000,1350,1545,11000,177.2
8,16,100,3600,95,5000,448000,1515,1710,8000,208.6
8,8,100,3600,95,4900,448000,1515,1710,8000,206.7
6,12,100,3700,95,4700,448000,1515,1710,8000,191.9
4,8,100,4200,91,4500,448000,1515,1710,8000,186.4
6,6,100,2900,65,4100,448000,1515,1710,8000,184.4
6,6,100,3600,95,4300,448000,1515,1710,8000,182.6
6,6,100,2800,65,4000,448000,1515,1710,8000,179
4,4,100,3800,91,4200,448000,1515,1710,8000,177.1
4,4,100,3400,65,3800,448000,1515,1710,8000,167.7
2,4,100,3900,51,3900,448000,1515,1710,8000,139.8
12,24,100,3800,105,4600,448000,1515,1710,8000,199.3
8,16,100,3900,105,4500,448000,1515,1710,8000,197.5
8,16,100,3600,65,4400,448000,1515,1710,8000,194.6
6,12,100,3800,95,4400,448000,1515,1710,8000,193.7
6,12,100,3600,65,4200,448000,1515,1710,8000,188.2
6,12,100,3600,95,4250,448000,1515,1710,8000,182.6
6,12,100,3600,95,4000,448000,1515,1710,8000,171.5
6,12,100,3400,65,3900,448000,1515,1710,8000,169.6
8,16,100,3400,95,3800,448000,1515,1710,8000,164.1
8,16,100,3600,95,5000,484400,1481,1582,11000,204.7
8,8,100,3600,95,4900,484400,1481,1582,11000,202.9
6,12,100,3700,95,4700,484400,1481,1582,11000,188.5
4,8,100,4200,91,4500,484400,1481,1582,11000,182.4
6,6,100,2900,65,4100,484400,1481,1582,11000,181
