CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,396.4
8,8,100,3600,95,4900,616000,1350,1545,11000,392.9
6,12,100,3700,95,4700,616000,1350,1545,11000,363.7
4,8,100,4200,91,4500,616000,1350,1545,11000,353
6,6,100,2900,65,4100,616000,1350,1545,11000,350.5
6,6,100,3600,95,4300,616000,1350,1545,11000,346
6,6,100,2800,65,4000,616000,1350,1545,11000,338.9
4,4,100,3800,91,4200,616000,1350,1545,11000,335.4
4,4,100,3400,65,3800,616000,1350,1545,11000,317.8
2,4,100,3900,51,3900,616000,1350,1545,11000,264.8
12,24,100,3800,105,4600,616000,1350,1545,11000,378.7
8,16,100,3900,105,4500,616000,1350,1545,11000,375.2
8,16,100,3600,65,4400,616000,1350,1545,11000,369.9
6,12,100,3800,95,4400,616000,1350,1545,11000,368.1
6,12,100,3600,65,4200,616000,1350,1545,11000,357.5
6,12,100,3600,95,4250,616000,1350,1545,11000,346
6,12,100,3600,95,4000,616000,1350,1545,11000,324.8
6,12,100,3400,65,3900,616000,1350,1545,11000,321.3
8,16,100,3400,95,3800,616000,1350,1545,11000,310.6
8,16,100,3600,95,5000,448000,1515,1710,8000,367
8,8,100,3600,95,4900,448000,1515,1710,8000,363.7
6,12,100,3700,95,4700,448000,1515,1710,8000,336.7
4,8,100,4200,91,4500,448000,1515,1710,8000,326.9
6,6,100,2900,65,4100,448000,1515,1710,8000,324.5
6,6,100,3600,95,4300,448000,1515,1710,8000,320.3
6,6,100,2800,65,4000,448000,1515,1710,8000,313.8
4,4,100,3800,91,4200,448000,1515,1710,8000,310.6
4,4,100,3400,65,3800,448000,1515,1710,8000,294.2
2,4,100,3900,51,3900,448000,1515,1710,8000,245.2
12,24,100,3800,105,4600,448000,1515,1710,8000,350.7
8,16,100,3900,105,4500,448000,1515,1710,8000,347.4
8,16,100,3600,65,4400,448000,1515,1710,8000,342.5
6,12,100,3800,95,4400,448000,1515,1710,8000,340.8
6,12,100,3600,65,4200,448000,1515,1710,8000,331
6,12,100,3600,95,4250,448000,1515,1710,8000,320.3
6,12,100,3600,95,4000,448000,1515,1710,8000,300.7
6,12,100,3400,65,3900,448000,1515,1710,8000,297.4
8,16,100,3400,95,3800,448000,1515,1710,8000,287.6
8,16,100,3600,95,5000,484400,1481,1582,11000,360.1
8,8,100,3600,95,4900,484400,1481,1582,11000,356.9
6,12,100,3700,95,4700,484400,1481,1582,11000,331.1
4,8,100,4200,91,4500,484400,1481,1582,11000,320.4
6,6,100,2900,65,4100,484400,1481,1582,11000,318.4
6,6,100,3600,95,4300,484400,1481,1582,11000,315.6
6,6,100,2800,65,4000,484400,1481,1582,11000,308.4
4,4,100,3800,91,4200,484400,1481,1582,11000,305.2
4,4,100,3400,65,3800,484400,1481,1582,11000,290.2
2,4,100,3900,51,3900,484400,1481,1582,11000,242.6
12,24,100,3800,105,4600,484400,1481,1582,11000,344
8,16,100,3900,105,4500,484400,1481,1582,11000,340.8
8,16,100,3600,65,4400,484400,1481,1582,11000,336
6,12,100,3800,95,4400,484400,1481,1582,11000,334.4
6,12,100,3600,65,4200,484400,1481,1582,11000,324.7
6,12,100,3600,95,4250,484400,1481,1582,11000,314.3
6,12,100,3600,95,4000,484400,1481,1582,11000,295.6
6,12,100,3400,65,3900,484400,1481,1582,11000,291.8
8,16,100,3400,95,3800,484400,1481,1582,11000,284.6
8,16,100,3600,95,5000,336600,1000,1089,12000,358.3
8,8,100,3600,95,4900,336600,1000,1089,12000,355.2
6,12,100,3700,95,4700,336600,1000,1089,12000,328.6
4,8,100,4200,91,4500,336600,1000,1089,12000,319.1
6,6,100,2900,65,4100,336600,1000,1089,12000,316.7
6,6,100,3600,95,4300,336600,1000,1089,12000,312.7
6,6,100,2800,65,4000,336600,1000,1089,12000,306.3
4,4,100,3800,91,4200,336600,1000,1089,12000,303.2
4,4,100,3400,65,3800,336600,1000,1089,12000,287.1
2,4,100,3900,51,3900,336600,1000,1089,12000,239.3
12,24,100,3800,105,4600,336600,1000,1089,12000,342.4
8,16,100,3900,105,4500,336600,1000,1089,12000,339.1
8,16,100,3600,65,4400,336600,1000,1089,12000,334.3
6,12,100,3800,95,4400,336600,1000,1089,12000,332.7
6,12,100,3600,65,4200,336600,1000,1089,12000,323.1
6,12,100,3600,95,4250,336600,1000,1089,12000,312.7
6,12,100,3600,95,4000,336600,1000,1089,12000,293.5
6,12,100,3400,65,3900,336600,1000,1089,12000,290.4
8,16,100,3400,95,3800,336600,1000,1089,12000,280.8
8,16,100,3600,95,5000,448000,1605,1770,8000,356.4
8,8,100,3600,95,4900,448000,1605,1770,8000,353.3
6,12,100,3700,95,4700,448000,1605,1770,8000,327
4,8,100,4200,91,4500,448000,1605,1770,8000,317.4
6,6,100,2900,65,4100,448000,1605,1770,8000,315.1
6,6,100,3600,95,4300,448000,1605,1770,8000,311.1
6,6,100,2800,65,4000,448000,1605,1770,8000,304.7
4,4,100,3800,91,4200,448000,1605,1770,8000,301.5
4,4,100,3400,65,3800,448000,1605,1770,8000,285.7
2,4,100,3900,51,3900,448000,1605,1770,8000,238
12,24,100,3800,105,4600,448000,1605,1770,8000,340.6
8,16,100,3900,105,4500,448000,1605,1770,8000,337.4
8,16,100,3600,65,4400,448000,1605,1770,8000,332.6
6,12,100,3800,95,4400,448000,1605,1770,8000,331
6,12,100,3600,65,4200,448000,1605,1770,8000,321.4
6,12,100,3600,95,4250,448000,1605,1770,8000,311.1
6,12,100,3600,95,4000,448000,1605,1770,8000,292.1
6,12,100,3400,65,3900,448000,1605,1770,8000,288.8
8,16,100,3400,95,3800,448000,1605,1770,8000,279.4
8,16,100,3600,95,5000,448000,1410,1620,8000,348.7
8,8,100,3600,95,4900,448000,1410,1620,8000,345.6
6,12,100,3700,95,4700,448000,1410,1620,8000,319.9
4,8,100,4200,91,4500,448000,1410,1620,8000,310.5
6,6,100,2900,65,4100,448000,1410,1620,8000,308.3
6,6,100,3600,95,4300,448000,1410,1620,8000,304.3
6,6,100,2800,65,4000,448000,1410,1620,8000,298.1
4,4,100,3800,91,4200,448000,1410,1620,8000,295
4,4,100,3400,65,3800,448000,1410,1620,8000,279.5
2,4,100,3900,51,3900,448000,1410,1620,8000,232.9
12,24,100,3800,105,4600,448000,1410,1620,8000,333.1
8,16,100,3900,105,4500,448000,1410,1620,8000,330
8,16,100,3600,65,4400,448000,1410,1620,8000,325.3
6,12,100,3800,95,4400,448000,1410,1620,8000,323.8
6,12,100,3600,65,4200,448000,1410,1620,8000,314.4
6,12,100,3600,95,4250,448000,1410,1620,8000,304.3
6,12,100,3600,95,4000,448000,1410,1620,8000,285.6
6,12,100,3400,65,3900,448000,1410,1620,8000,282.5
8,16,100,3400,95,3800,448000,1410,1620,8000,273.3
8,16,100,3600,95,5000,352300,1607,1733,8000,346.6
8,8,100,3600,95,4900,352300,1607,1733,8000,343.5
6,12,100,3700,95,4700,352300,1607,1733,8000,319.6
4,8,100,4200,91,4500,352300,1607,1733,8000,311.2
6,6,100,2900,65,4100,352300,1607,1733,8000,306.4
6,6,100,3600,95,4300,352300,1607,1733,8000,303.2
