CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,170.6
8,8,100,3600,95,4900,616000,1350,1545,11000,169
6,12,100,3700,95,4700,616000,1350,1545,11000,156.8
4,8,100,4200,91,4500,616000,1350,1545,11000,152.2
6,6,100,2900,65,4100,616000,1350,1545,11000,150.8
6,6,100,3600,95,4300,616000,1350,1545,11000,149.2
6,6,100,2800,65,4000,616000,1350,1545,11000,146.1
4,4,100,3800,91,4200,616000,1350,1545,11000,144.6
4,4,100,3400,65,3800,616000,1350,1545,11000,137
2,4,100,3900,51,3900,616000,1350,1545,11000,114.1
12,24,100,3800,105,4600,616000,1350,1545,11000,163
8,16,100,3900,105,4500,616000,1350,1545,11000,161.4
8,16,100,3600,65,4400,616000,1350,1545,11000,159.1
6,12,100,3800,95,4400,616000,1350,1545,11000,158.4
6,12,100,3600,65,4200,616000,1350,1545,11000,153.8
6,12,100,3600,95,4250,616000,1350,1545,11000,149.2
6,12,100,3600,95,4000,616000,1350,1545,11000,140
6,12,100,3400,65,3900,616000,1350,1545,11000,138.5
8,16,100,3400,95,3800,616000,1350,1545,11000,134
8,16,100,3600,95,5000,448000,1515,1710,8000,157.9
8,8,100,3600,95,4900,448000,1515,1710,8000,156.5
6,12,100,3700,95,4700,448000,1515,1710,8000,145.2
4,8,100,4200,91,4500,448000,1515,1710,8000,141
6,6,100,2900,65,4100,448000,1515,1710,8000,139.6
6,6,100,3600,95,4300,448000,1515,1710,8000,138.2
6,6,100,2800,65,4000,448000,1515,1710,8000,135.4
4,4,100,3800,91,4200,448000,1515,1710,8000,133.9
4,4,100,3400,65,3800,448000,1515,1710,8000,126.9
2,4,100,3900,51,3900,448000,1515,1710,8000,105.7
12,24,100,3800,105,4600,448000,1515,1710,8000,150.9
8,16,100,3900,105,4500,448000,1515,1710,8000,149.5
8,16,100,3600,65,4400,448000,1515,1710,8000,147.4
6,12,100,3800,95,4400,448000,1515,1710,8000,146.6
6,12,100,3600,65,4200,448000,1515,1710,8000,142.4
6,12,100,3600,95,4250,448000,1515,1710,8000,138.2
6,12,100,3600,95,4000,448000,1515,1710,8000,129.7
6,12,100,3400,65,3900,448000,1515,1710,8000,128.3
8,16,100,3400,95,3800,448000,1515,1710,8000,124.1
8,16,100,3600,95,5000,484400,1481,1582,11000,154.9
8,8,100,3600,95,4900,484400,1481,1582,11000,153.6
6,12,100,3700,95,4700,484400,1481,1582,11000,142.8
4,8,100,4200,91,4500,484400,1481,1582,11000,138
6,6,100,2900,65,4100,484400,1481,1582,11000,136.9
6,6,100,3600,95,4300,484400,1481,1582,11000,136.6
6,6,100,2800,65,4000,484400,1481,1582,11000,133.1
4,4,100,3800,91,4200,484400,1481,1582,11000,131.6
4,4,100,3400,65,3800,484400,1481,1582,11000,125
2,4,100,3900,51,3900,484400,1481,1582,11000,104
12,24,100,3800,105,4600,484400,1481,1582,11000,148
8,16,100,3900,105,4500,484400,1481,1582,11000,146.6
8,16,100,3600,65,4400,484400,1481,1582,11000,144.6
6,12,100,3800,95,4400,484400,1481,1582,11000,143.9
6,12,100,3600,65,4200,484400,1481,1582,11000,139.7
6,12,100,3600,95,4250,484400,1481,1582,11000,135.5
6,12,100,3600,95,4000,484400,1481,1582,11000,127.9
6,12,100,3400,65,3900,484400,1481,1582,11000,125.9
8,16,100,3400,95,3800,484400,1481,1582,11000,122.3
8,16,100,3600,95,5000,336600,1000,1089,12000,154.1
8,8,100,3600,95,4900,336600,1000,1089,12000,152.8
6,12,100,3700,95,4700,336600,1000,1089,12000,141.7
4,8,100,4200,91,4500,336600,1000,1089,12000,137.6
6,6,100,2900,65,4100,336600,1000,1089,12000,136.3
6,6,100,3600,95,4300,336600,1000,1089,12000,134.8
6,6,100,2800,65,4000,336600,1000,1089,12000,132.1
4,4,100,3800,91,4200,336600,1000,1089,12000,130.7
4,4,100,3400,65,3800,336600,1000,1089,12000,123.9
2,4,100,3900,51,3900,336600,1000,1089,12000,103.2
12,24,100,3800,105,4600,336600,1000,1089,12000,147.3
8,16,100,3900,105,4500,336600,1000,1089,12000,145.9
8,16,100,3600,65,4400,336600,1000,1089,12000,143.9
6,12,100,3800,95,4400,336600,1000,1089,12000,143.2
6,12,100,3600,65,4200,336600,1000,1089,12000,139.1
6,12,100,3600,95,4250,336600,1000,1089,12000,134.8
6,12,100,3600,95,4000,336600,1000,1089,12000,126.6
6,12,100,3400,65,3900,336600,1000,1089,12000,125.2
8,16,100,3400,95,3800,336600,1000,1089,12000,121.1
8,16,100,3600,95,5000,448000,1605,1770,8000,153.3
8,8,100,3600,95,4900,448000,1605,1770,8000,152
6,12,100,3700,95,4700,448000,1605,1770,8000,141
4,8,100,4200,91,4500,448000,1605,1770,8000,136.8
6,6,100,2900,65,4100,448000,1605,1770,8000,135.5
6,6,100,3600,95,4300,448000,1605,1770,8000,134.2
6,6,100,2800,65,4000,448000,1605,1770,8000,131.4
4,4,100,3800,91,4200,448000,1605,1770,8000,130
4,4,100,3400,65,3800,448000,1605,1770,8000,123.3
2,4,100,3900,51,3900,448000,1605,1770,8000,102.7
12,24,100,3800,105,4600,448000,1605,1770,8000,146.5
8,16,100,3900,105,4500,448000,1605,1770,8000,145.1
8,16,100,3600,65,4400,448000,1605,1770,8000,143.1
6,12,100,3800,95,4400,448000,1605,1770,8000,142.4
6,12,100,3600,65,4200,448000,1605,1770,8000,138.3
6,12,100,3600,95,4250,448000,1605,1770,8000,134.2
6,12,100,3600,95,4000,448000,1605,1770,8000,125.9
6,12,100,3400,65,3900,448000,1605,1770,8000,124.6
8,16,100,3400,95,3800,448000,1605,1770,8000,120.5
8,16,100,3600,95,5000,448000,1410,1620,8000,150.1
8,8,100,3600,95,4900,448000,1410,1620,8000,148.7
6,12,100,3700,95,4700,448000,1410,1620,8000,137.9
4,8,100,4200,91,4500,448000,1410,1620,8000,133.9
6,6,100,2900,65,4100,448000,1410,1620,8000,132.6
6,6,100,3600,95,4300,448000,1410,1620,8000,131.3
6,6,100,2800,65,4000,448000,1410,1620,8000,128.5
4,4,100,3800,91,4200,448000,1410,1620,8000,127.2
4,4,100,3400,65,3800,448000,1410,1620,8000,120.5
2,4,100,3900,51,3900,448000,1410,1620,8000,100.5
12,24,100,3800,105,4600,448000,1410,1620,8000,143.3
8,16,100,3900,105,4500,448000,1410,1620,8000,142
8,16,100,3600,65,4400,448000,1410,1620,8000,139.9
6,12,100,3800,95,4400,448000,1410,1620,8000,139.3
6,12,100,3600,65,4200,448000,1410,1620,8000,135.2
6,12,100,3600,95,4250,448000,1410,1620,8000,131.3
6,12,100,3600,95,4000,448000,1410,1620,8000,123.2
6,12,100,3400,65,3900,448000,1410,1620,8000,121.9
8,16,100,3400,95,3800,448000,1410,1620,8000,117.8
8,16,100,3600,95,5000,352300,1607,1733,8000,149.2
8,8,100,3600,95,4900,352300,1607,1733,8000,147.8
6,12,100,3700,95,4700,352300,1607,1733,8000,137.9
4,8,100,4200,91,4500,352300,1607,1733,8000,134
6,6,100,2900,65,4100,352300,1607,1733,8000,131.8
6,6,100,3600,95,4300,352300,1607,1733,8000,130.4
6,6,100,2800,65,4000,352300,1607,1733,8000,127.9
4,4,100,3800,91,4200,352300,1607,1733,8000,127.3
4,4,100,3400,65,3800,352300,1607,1733,8000,120.1
2,4,100,3900,51,3900,352300,1607,1733,8000,100.6
12,24,100,3800,105,4600,352300,1607,1733,8000,142.5
8,16,100,3900,105,4500,352300,1607,1733,8000,141.1
8,16,100,3600,65,4400,352300,1607,1733,8000,139.1
6,12,100,3800,95,4400,352300,1607,1733,8000,138.5
6,12,100,3600,65,4200,352300,1607,1733,8000,134.5
6,12,100,3600,95,4250,352300,1607,1733,8000,130.4
6,12,100,3600,95,4000,352300,1607,1733,8000,122.5
6,12,100,3400,65,3900,352300,1607,1733,8000,121.1
8,16,100,3400,95,3800,352300,1607,1733,8000,117
8,16,100,3600,95,5000,448000,1470,1650,8000,146.4
8,8,100,3600,95,4900,448000,1470,1650,8000,145.2
6,12,100,3700,95,4700,448000,1470,1650,8000,134.6
4,8,100,4200,91,4500,448000,1470,1650,8000,130.7
6,6,100,2900,65,4100,448000,1470,1650,8000,129.4
6,6,100,3600,95,4300,448000,1470,1650,8000,128.1
6,6,100,2800,65,4000,448000,1470,1650,8000,125.5
4,4,100,3800,91,4200,448000,1470,1650,8000,124.1
4,4,100,3400,65,3800,448000,1470,1650,8000,117.7
2,4,100,3900,51,3900,448000,1470,1650,8000,98
12,24,100,3800,105,4600,448000,1470,1650,8000,139.9
8,16,100,3900,105,4500,448000,1470,1650,8000,138.6
8,16,100,3600,65,4400,448000,1470,1650,8000,136.6
6,12,100,3800,95,4400,448000,1470,1650,8000,136
6,12,100,3600,65,4200,448000,1470,1650,8000,132
6,12,100,3600,95,4250,448000,1470,1650,8000,128.1
6,12,100,3600,95,4000,448000,1470,1650,8000,120.2
6,12,100,3400,65,3900,448000,1470,1650,8000,118.9
8,16,100,3400,95,3800,448000,1470,1650,8000,115
8,16,100,3600,95,5000,336000,1365,1680,6000,143.5
8,8,100,3600,95,4900,336000,1365,1680,6000,142.2
6,12,100,3700,95,4700,336000,1365,1680,6000,132
4,8,100,4200,91,4500,336000,1365,1680,6000,128.2
6,6,100,2900,65,4100,336000,1365,1680,6000,126.9
6,6,100,3600,95,4300,336000,1365,1680,6000,125.6
6,6,100,2800,65,4000,336000,1365,1680,6000,123.1
4,4,100,3800,91,4200,336000,1365,1680,6000,121.8
4,4,100,3400,65,3800,336000,1365,1680,6000,115.3
2,4,100,3900,51,3900,336000,1365,1680,6000,96.1
12,24,100,3800,105,4600,336000,1365,1680,6000,137.1
8,16,100,3900,105,4500,336000,1365,1680,6000,135.9
8,16,100,3600,65,4400,336000,1365,1680,6000,133.9
6,12,100,3800,95,4400,336000,1365,1680,6000,133.3
6,12,100,3600,65,4200,336000,1365,1680,6000,129.5
6,12,100,3600,95,4250,336000,1365,1680,6000,125.6
6,12,100,3600,95,4000,336000,1365,1680,6000,117.8
6,12,100,3400,65,3900,336000,1365,1680,6000,116.6
8,16,100,3400,95,3800,336000,1365,1680,6000,112.7
8,16,100,3600,95,5000,256300,1607,1683,8000,141.5
8,8,100,3600,95,4900,256300,1607,1683,8000,140.4
6,12,100,3700,95,4700,256300,1607,1683,8000,130.2
4,8,100,4200,91,4500,256300,1607,1683,8000,127.1
6,6,100,2900,65,4100,256300,1607,1683,8000,125.1
6,6,100,3600,95,4300,256300,1607,1683,8000,124
6,6,100,2800,65,4000,256300,1607,1683,8000,121.9
4,4,100,3800,91,4200,256300,1607,1683,8000,121
4,4,100,3400,65,3800,256300,1607,1683,8000,113.9
2,4,100,3900,51,3900,256300,1607,1683,8000,94.9
12,24,100,3800,105,4600,256300,1607,1683,8000,135.2
8,16,100,3900,105,4500,256300,1607,1683,8000,134
8,16,100,3600,65,4400,256300,1607,1683,8000,132.1
6,12,100,3800,95,4400,256300,1607,1683,8000,131.5
6,12,100,3600,65,4200,256300,1607,1683,8000,127.7
6,12,100,3600,95,4250,256300,1607,1683,8000,123.8
6,12,100,3600,95,4000,256300,1607,1683,8000,116.4
6,12,100,3400,65,3900,256300,1607,1683,8000,114.9
8,16,100,3400,95,3800,256300,1607,1683,8000,112
8,16,100,3600,95,5000,256300,1506,1683,8000,134.1
8,8,100,3600,95,4900,256300,1506,1683,8000,132.9
6,12,100,3700,95,4700,256300,1506,1683,8000,124.1
4,8,100,4200,91,4500,256300,1506,1683,8000,120
6,6,100,2900,65,4100,256300,1506,1683,8000,118.5
6,6,100,3600,95,4300,256300,1506,1683,8000,118
6,6,100,2800,65,4000,256300,1506,1683,8000,115.2
4,4,100,3800,91,4200,256300,1506,1683,8000,114.4
4,4,100,3400,65,3800,256300,1506,1683,8000,108.6
2,4,100,3900,51,3900,256300,1506,1683,8000,89.9
12,24,100,3800,105,4600,256300,1506,1683,8000,128.1
8,16,100,3900,105,4500,256300,1506,1683,8000,126.9
8,16,100,3600,65,4400,256300,1506,1683,8000,125.2
6,12,100,3800,95,4400,256300,1506,1683,8000,124.5
6,12,100,3600,65,4200,256300,1506,1683,8000,120.9
6,12,100,3600,95,4250,256300,1506,1683,8000,117.3
6,12,100,3600,95,4000,256300,1506,1683,8000,110.3
6,12,100,3400,65,3900,256300,1506,1683,8000,109
8,16,100,3400,95,3800,256300,1506,1683,8000,105.4
8,16,100,3600,95,5000,288000,1500,1770,6000,134.1
8,8,100,3600,95,4900,288000,1500,1770,6000,132.9
6,12,100,3700,95,4700,288000,1500,1770,6000,123.3
4,8,100,4200,91,4500,288000,1500,1770,6000,119.7
6,6,100,2900,65,4100,288000,1500,1770,6000,118.5
6,6,100,3600,95,4300,288000,1500,1770,6000,117.3
6,6,100,2800,65,4000,288000,1500,1770,6000,115
4,4,100,3800,91,4200,288000,1500,1770,6000,113.8
4,4,100,3400,65,3800,288000,1500,1770,6000,107.8
2,4,100,3900,51,3900,288000,1500,1770,6000,89.8
12,24,100,3800,105,4600,288000,1500,1770,6000,128.1
8,16,100,3900,105,4500,288000,1500,1770,6000,126.9
