CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,199.9
8,8,100,3600,95,4900,616000,1350,1545,11000,198.1
6,12,100,3700,95,4700,616000,1350,1545,11000,183.5
4,8,100,4200,91,4500,616000,1350,1545,11000,178.2
6,6,100,2900,65,4100,616000,1350,1545,11000,176.7
6,6,100,3600,95,4300,616000,1350,1545,11000,174.6
6,6,100,2800,65,4000,616000,1350,1545,11000,171
4,4,100,3800,91,4200,616000,1350,1545,11000,169.3
4,4,100,3400,65,3800,616000,1350,1545,11000,160.4
2,4,100,3900,51,3900,616000,1350,1545,11000,133.6
12,24,100,3800,105,4600,616000,1350,1545,11000,191
8,16,100,3900,105,4500,616000,1350,1545,11000,189.2
8,16,100,3600,65,4400,616000,1350,1545,11000,186.5
6,12,100,3800,95,4400,616000,1350,1545,11000,185.6
6,12,100,3600,65,4200,616000,1350,1545,11000,180.3
6,12,100,3600,95,4250,616000,1350,1545,11000,174.6
6,12,100,3600,95,4000,616000,1350,1545,11000,163.9
6,12,100,3400,65,3900,616000,1350,1545,11000,162.1
8,16,100,3400,95,3800,616000,1350,1545,11000,156.8
8,16,100,3600,95,5000,448000,1515,1710,8000,162.4
8,8,100,3600,95,4900,448000,1515,1710,8000,161
6,12,100,3700,95,4700,448000,1515,1710,8000,149.1
4,8,100,4200,91,4500,448000,1515,1710,8000,144.8
6,6,100,2900,65,4100,448000,1515,1710,8000,143.6
6,6,100,3600,95,4300,448000,1515,1710,8000,141.9
6,6,100,2800,65,4000,448000,1515,1710,8000,139
4,4,100,3800,91,4200,448000,1515,1710,8000,137.5
4,4,100,3400,65,3800,448000,1515,1710,8000,130.3
2,4,100,3900,51,3900,448000,1515,1710,8000,108.6
12,24,100,3800,105,4600,448000,1515,1710,8000,155.2
8,16,100,3900,105,4500,448000,1515,1710,8000,153.7
8,16,100,3600,65,4400,448000,1515,1710,8000,151.5
6,12,100,3800,95,4400,448000,1515,1710,8000,150.8
6,12,100,3600,65,4200,448000,1515,1710,8000,146.5
6,12,100,3600,95,4250,448000,1515,1710,8000,141.9
6,12,100,3600,95,4000,448000,1515,1710,8000,133.2
6,12,100,3400,65,3900,448000,1515,1710,8000,131.7
8,16,100,3400,95,3800,448000,1515,1710,8000,127.4
8,16,100,3600,95,5000,484400,1481,1582,11000,156.2
8,8,100,3600,95,4900,484400,1481,1582,11000,154.8
6,12,100,3700,95,4700,484400,1481,1582,11000,143.8
4,8,100,4200,91,4500,484400,1481,1582,11000,139
6,6,100,2900,65,4100,484400,1481,1582,11000,138.1
6,6,100,3600,95,4300,484400,1481,1582,11000,136.9
6,6,100,2800,65,4000,484400,1481,1582,11000,134.1
4,4,100,3800,91,4200,484400,1481,1582,11000,132.2
