CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,135.2
8,8,100,3600,95,4900,616000,1350,1545,11000,134
6,12,100,3700,95,4700,616000,1350,1545,11000,123.8
4,8,100,4200,91,4500,616000,1350,1545,11000,120.2
6,6,100,2900,65,4100,616000,1350,1545,11000,119.5
6,6,100,3600,95,4300,616000,1350,1545,11000,117.9
6,6,100,2800,65,4000,616000,1350,1545,11000,115.5
4,4,100,3800,91,4200,616000,1350,1545,11000,114.2
4,4,100,3400,65,3800,616000,1350,1545,11000,108.3
2,4,100,3900,51,3900,616000,1350,1545,11000,90.2
12,24,100,3800,105,4600,616000,1350,1545,11000,129.1
8,16,100,3900,105,4500,616000,1350,1545,11000,128
8,16,100,3600,65,4400,616000,1350,1545,11000,126.1
6,12,100,3800,95,4400,616000,1350,1545,11000,125.5
6,12,100,3600,65,4200,616000,1350,1545,11000,121.9
6,12,100,3600,95,4250,616000,1350,1545,11000,117.9
6,12,100,3600,95,4000,616000,1350,1545,11000,110.6
6,12,100,3400,65,3900,616000,1350,1545,11000,109.5
8,16,100,3400,95,3800,616000,1350,1545,11000,105.9
8,16,100,3600,95,5000,448000,1515,1710,8000,125.1
8,8,100,3600,95,4900,448000,1515,1710,8000,124.1
6,12,100,3700,95,4700,448000,1515,1710,8000,114.7
4,8,100,4200,91,4500,448000,1515,1710,8000,111.4
6,6,100,2900,65,4100,448000,1515,1710,8000,110.7
6,6,100,3600,95,4300,448000,1515,1710,8000,109.1
6,6,100,2800,65,4000,448000,1515,1710,8000,106.9
4,4,100,3800,91,4200,448000,1515,1710,8000,105.8
4,4,100,3400,65,3800,448000,1515,1710,8000,100.2
2,4,100,3900,51,3900,448000,1515,1710,8000,83.5
12,24,100,3800,105,4600,448000,1515,1710,8000,119.6
8,16,100,3900,105,4500,448000,1515,1710,8000,118.4
8,16,100,3600,65,4400,448000,1515,1710,8000,116.8
6,12,100,3800,95,4400,448000,1515,1710,8000,116.2
6,12,100,3600,65,4200,448000,1515,1710,8000,112.9
6,12,100,3600,95,4250,448000,1515,1710,8000,109.1
6,12,100,3600,95,4000,448000,1515,1710,8000,102.4
6,12,100,3400,65,3900,448000,1515,1710,8000,101.4
8,16,100,3400,95,3800,448000,1515,1710,8000,98
8,16,100,3600,95,5000,484400,1481,1582,11000,122.8
8,8,100,3600,95,4900,484400,1481,1582,11000,121.7
6,12,100,3700,95,4700,484400,1481,1582,11000,113.5
4,8,100,4200,91,4500,484400,1481,1582,11000,109.2
6,6,100,2900,65,4100,484400,1481,1582,11000,108.6
6,6,100,3600,95,4300,484400,1481,1582,11000,107.8
6,6,100,2800,65,4000,484400,1481,1582,11000,105.1
4,4,100,3800,91,4200,484400,1481,1582,11000,104.2
4,4,100,3400,65,3800,484400,1481,1582,11000,98.6
2,4,100,3900,51,3900,484400,1481,1582,11000,82.3
12,24,100,3800,105,4600,484400,1481,1582,11000,117.4
8,16,100,3900,105,4500,484400,1481,1582,11000,116.2
8,16,100,3600,65,4400,484400,1481,1582,11000,114.6
6,12,100,3800,95,4400,484400,1481,1582,11000,114
6,12,100,3600,65,4200,484400,1481,1582,11000,110.8
6,12,100,3600,95,4250,484400,1481,1582,11000,107
6,12,100,3600,95,4000,484400,1481,1582,11000,100.9
6,12,100,3400,65,3900,484400,1481,1582,11000,99.5
8,16,100,3400,95,3800,484400,1481,1582,11000,96.6
8,16,100,3600,95,5000,336600,1000,1089,12000,122.2
8,8,100,3600,95,4900,336600,1000,1089,12000,121.1
6,12,100,3700,95,4700,336600,1000,1089,12000,111.9
4,8,100,4200,91,4500,336600,1000,1089,12000,108.7
6,6,100,2900,65,4100,336600,1000,1089,12000,107.9
6,6,100,3600,95,4300,336600,1000,1089,12000,106.5
6,6,100,2800,65,4000,336600,1000,1089,12000,104.3
4,4,100,3800,91,4200,336600,1000,1089,12000,103.2
4,4,100,3400,65,3800,336600,1000,1089,12000,97.8
2,4,100,3900,51,3900,336600,1000,1089,12000,81.5
12,24,100,3800,105,4600,336600,1000,1089,12000,116.7
8,16,100,3900,105,4500,336600,1000,1089,12000,115.7
8,16,100,3600,65,4400,336600,1000,1089,12000,114
6,12,100,3800,95,4400,336600,1000,1089,12000,113.5
6,12,100,3600,65,4200,336600,1000,1089,12000,110.2
6,12,100,3600,95,4250,336600,1000,1089,12000,106.5
6,12,100,3600,95,4000,336600,1000,1089,12000,100
6,12,100,3400,65,3900,336600,1000,1089,12000,98.9
8,16,100,3400,95,3800,336600,1000,1089,12000,95.6
8,16,100,3600,95,5000,448000,1605,1770,8000,121.6
8,8,100,3600,95,4900,448000,1605,1770,8000,120.5
6,12,100,3700,95,4700,448000,1605,1770,8000,111.4
4,8,100,4200,91,4500,448000,1605,1770,8000,108.1
6,6,100,2900,65,4100,448000,1605,1770,8000,107.4
6,6,100,3600,95,4300,448000,1605,1770,8000,105.9
6,6,100,2800,65,4000,448000,1605,1770,8000,103.9
4,4,100,3800,91,4200,448000,1605,1770,8000,102.8
4,4,100,3400,65,3800,448000,1605,1770,8000,97.3
2,4,100,3900,51,3900,448000,1605,1770,8000,81.1
12,24,100,3800,105,4600,448000,1605,1770,8000,116.1
8,16,100,3900,105,4500,448000,1605,1770,8000,115
8,16,100,3600,65,4400,448000,1605,1770,8000,113.4
6,12,100,3800,95,4400,448000,1605,1770,8000,112.8
6,12,100,3600,65,4200,448000,1605,1770,8000,109.6
6,12,100,3600,95,4250,448000,1605,1770,8000,105.9
6,12,100,3600,95,4000,448000,1605,1770,8000,99.5
6,12,100,3400,65,3900,448000,1605,1770,8000,98.4
8,16,100,3400,95,3800,448000,1605,1770,8000,95.1
8,16,100,3600,95,5000,448000,1410,1620,8000,118.9
8,8,100,3600,95,4900,448000,1410,1620,8000,117.8
6,12,100,3700,95,4700,448000,1410,1620,8000,109
4,8,100,4200,91,4500,448000,1410,1620,8000,105.8
6,6,100,2900,65,4100,448000,1410,1620,8000,105.1
6,6,100,3600,95,4300,448000,1410,1620,8000,103.7
6,6,100,2800,65,4000,448000,1410,1620,8000,101.6
4,4,100,3800,91,4200,448000,1410,1620,8000,100.5
4,4,100,3400,65,3800,448000,1410,1620,8000,95.2
2,4,100,3900,51,3900,448000,1410,1620,8000,79.4
