CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuFrequency,CpuTDP,CpuTurboClock,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuMemorySize,FPS
8,16,100,3600,95,5000,616000,1350,1545,11000,133.7
8,8,100,3600,95,4900,616000,1350,1545,11000,132.6
6,12,100,3700,95,4700,616000,1350,1545,11000,122.5
4,8,100,4200,91,4500,616000,1350,1545,11000,118.9
6,6,100,2900,65,4100,616000,1350,1545,11000,118.3
6,6,100,3600,95,4300,616000,1350,1545,11000,116.5
6,6,100,2800,65,4000,616000,1350,1545,11000,114.1
4,4,100,3800,91,4200,616000,1350,1545,11000,112.9
4,4,100,3400,65,3800,616000,1350,1545,11000,107
2,4,100,3900,51,3900,616000,1350,1545,11000,89.2
12,24,100,3800,105,4600,616000,1350,1545,11000,127.8
8,16,100,3900,105,4500,616000,1350,1545,11000,126.6
8,16,100,3600,65,4400,616000,1350,1545,11000,124.8
6,12,100,3800,95,4400,616000,1350,1545,11000,124.3
6,12,100,3600,65,4200,616000,1350,1545,11000,120.6
6,12,100,3600,95,4250,616000,1350,1545,11000,116.5
6,12,100,3600,95,4000,616000,1350,1545,11000,109.4
6,12,100,3400,65,3900,616000,1350,1545,11000,108.2
8,16,100,3400,95,3800,616000,1350,1545,11000,104.6
8,16,100,3600,95,5000,448000,1515,1710,8000,123.8
8,8,100,3600,95,4900,448000,1515,1710,8000,122.8
6,12,100,3700,95,4700,448000,1515,1710,8000,113.4
4,8,100,4200,91,4500,448000,1515,1710,8000,110.1
6,6,100,2900,65,4100,448000,1515,1710,8000,109.5
6,6,100,3600,95,4300,448000,1515,1710,8000,107.8
6,6,100,2800,65,4000,448000,1515,1710,8000,105.7
4,4,100,3800,91,4200,448000,1515,1710,8000,104.5
4,4,100,3400,65,3800,448000,1515,1710,8000,99
2,4,100,3900,51,3900,448000,1515,1710,8000,82.6
12,24,100,3800,105,4600,448000,1515,1710,8000,118.3
8,16,100,3900,105,4500,448000,1515,1710,8000,117.2
8,16,100,3600,65,4400,448000,1515,1710,8000,115.6
6,12,100,3800,95,4400,448000,1515,1710,8000,115
6,12,100,3600,65,4200,448000,1515,1710,8000,111.7
6,12,100,3600,95,4250,448000,1515,1710,8000,107.8
6,12,100,3600,95,4000,448000,1515,1710,8000,101.3
6,12,100,3400,65,3900,448000,1515,1710,8000,100.2
8,16,100,3400,95,3800,448000,1515,1710,8000,96.9
8,16,100,3600,95,5000,484400,1481,1582,11000,121.6
8,8,100,3600,95,4900,484400,1481,1582,11000,120.5
6,12,100,3700,95,4700,484400,1481,1582,11000,111.6
4,8,100,4200,91,4500,484400,1481,1582,11000,108
6,6,100,2900,65,4100,484400,1481,1582,11000,107.4
6,6,100,3600,95,4300,484400,1481,1582,11000,106.8
6,6,100,2800,65,4000,484400,1481,1582,11000,104.2
4,4,100,3800,91,4200,484400,1481,1582,11000,103
4,4,100,3400,65,3800,484400,1481,1582,11000,97.3
2,4,100,3900,51,3900,484400,1481,1582,11000,81.4
12,24,100,3800,105,4600,484400,1481,1582,11000,116
8,16,100,3900,105,4500,484400,1481,1582,11000,115
8,16,100,3600,65,4400,484400,1481,1582,11000,113.4
6,12,100,3800,95,4400,484400,1481,1582,11000,112.8
6,12,100,3600,65,4200,484400,1481,1582,11000,109.6
6,12,100,3600,95,4250,484400,1481,1582,11000,105.8
6,12,100,3600,95,4000,484400,1481,1582,11000,99.8
6,12,100,3400,65,3900,484400,1481,1582,11000,98.3
8,16,100,3400,95,3800,484400,1481,1582,11000,95.2
8,16,100,3600,95,5000,336600,1000,1089,12000,121
8,8,100,3600,95,4900,336600,1000,1089,12000,119.9
6,12,100,3700,95,4700,336600,1000,1089,12000,110.7
4,8,100,4200,91,4500,336600,1000,1089,12000,107.5
6,6,100,2900,65,4100,336600,1000,1089,12000,106.9
6,6,100,3600,95,4300,336600,1000,1089,12000,105.3
6,6,100,2800,65,4000,336600,1000,1089,12000,103.1
4,4,100,3800,91,4200,336600,1000,1089,12000,102
4,4,100,3400,65,3800,336600,1000,1089,12000,96.7
2,4,100,3900,51,3900,336600,1000,1089,12000,80.6
12,24,100,3800,105,4600,336600,1000,1089,12000,115.5
8,16,100,3900,105,4500,336600,1000,1089,12000,114.4
8,16,100,3600,65,4400,336600,1000,1089,12000,112.8
6,12,100,3800,95,4400,336600,1000,1089,12000,112.3
6,12,100,3600,65,4200,336600,1000,1089,12000,109
6,12,100,3600,95,4250,336600,1000,1089,12000,105.3
6,12,100,3600,95,4000,336600,1000,1089,12000,98.9
6,12,100,3400,65,3900,336600,1000,1089,12000,97.8
8,16,100,3400,95,3800,336600,1000,1089,12000,94.6
8,16,100,3600,95,5000,448000,1605,1770,8000,120.2
8,8,100,3600,95,4900,448000,1605,1770,8000,119.3
6,12,100,3700,95,4700,448000,1605,1770,8000,110
4,8,100,4200,91,4500,448000,1605,1770,8000,106.9
6,6,100,2900,65,4100,448000,1605,1770,8000,106.3
6,6,100,3600,95,4300,448000,1605,1770,8000,104.7
